name,email,role,city,wall_slug,population
Ken Sim,Ken.Sim@vancouver.ca,Mayor,Vancouver,ken-sim-mayor,662248
Brenda Locke,mayor@surrey.ca,Mayor,Surrey,brenda-locke-mayor,568322
Mike Hurley,mayor@burnaby.ca,Mayor,Burnaby,mike-hurley-mayor,249125
Malcolm Brodie,mayorea@richmond.ca,Mayor,Richmond,malcolm-brodie-mayor,209937
Ross Siemens,mayorsiemens@abbotsford.ca,Mayor,Abbotsford,ross-siemens-mayor,153524
Richard Stewart,rstewart@coquitlam.ca,Mayor,Coquitlam,richard-stewart-mayor,148625
Tom Dyas,mayorandcouncil@kelowna.ca,Mayor,Kelowna,tom-dyas-mayor,144576
Eric Woodward,ewoodward@tol.ca,Mayor,Langley (Township),eric-woodward-mayor,132603
Dean Murdock,mayor@saanich.ca,Mayor,Saanich,dean-murdock-mayor,117735
George V. Harvie,mayorharvie@delta.ca,Mayor,Delta,george-v-harvie-mayor,108455
Leonard Krog,leonard.krog@nanaimo.ca,Mayor,Nanaimo,leonard-krog-mayor,99863
Marianne Alto,malto@victoria.ca,Mayor,Victoria,marianne-alto-mayor,91867
Dan Ruimy,druimy@mapleridge.ca,Mayor,Maple Ridge,dan-ruimy-mayor,90990
Patrick JOHNSTONE,pjohnstone@newwestcity.ca,Mayor,New Westminster,patrick-johnstone-mayor,78916
Simon Yu,simon.yu@princegeorge.ca,Mayor,Prince George,simon-yu-mayor,76708
Brad West,mayor@portcoquitlam.ca,Mayor,Port Coquitlam,brad-west-mayor,61498
Linda BUCHANAN,mayor@cnv.org,Mayor,North Vancouver (City),linda-buchanan-mayor,58120
Mark Sager,mark@westvancouver.ca,Mayor,West Vancouver,mark-sager-mayor,44122
Paul Horn,phorn@mission.ca,Mayor,Mission,paul-horn-mayor,41519
Nathan Pachal,npachal@langleycity.ca,Mayor,Langley (City),nathan-pachal-mayor,28963
